Entity,Code,Year,Fossil fuels per capita (kWh),Nuclear per capita (kWh - equivalent),Renewables per capita (kWh - equivalent)
Africa,,1965,2097.7078,0,127.91771
Africa,,1966,2133.356,0,139.12256
Africa,,1967,2096.53,0,141.5766
Africa,,1968,2142.4888,0,161.39375
Africa,,1969,2123.3364,0,183.53687
Africa,,1970,2216.5781,0,223.56761
Africa,,1971,2332.7512,0,206.47203
Africa,,1972,2388.8816,0,229.00677
Africa,,1973,2525.6846,0,235.90248
Africa,,1974,2556.1267,0,261.10275
Africa,,1975,2637.0618,0,268.4201
Africa,,1976,2780.9832,0,289.09085
Africa,,1977,2841.5076,0,308.83777
Africa,,1978,2876.7278,0,302.66837
Africa,,1979,3049.3608,0,314.55762
Africa,,1980,3214.0627,0,298.03812
Africa,,1981,3526.9478,0,300.8455
Africa,,1982,3668.9277,0,292.26404
Africa,,1983,3710.1514,0,256.08322
Africa,,1984,3710.8762,20.617537,244.92314
Africa,,1985,3730.9268,27.141745,264.69916
Africa,,1986,3686.228,43.69594,268.0142
Africa,,1987,3730.3982,29.756077,250.02132
Africa,,1988,3862.4136,49.25306,265.27045
Africa,,1989,3752.6377,50.700584,270.88193
Africa,,1990,3790.1714,37.56778,269.09778
Africa,,1991,3670.1572,39.610104,277.58957
Africa,,1992,3647.1348,39.22249,258.48517
Africa,,1993,3576.1,29.87225,247.4276
Africa,,1994,3606.7964,38.946674,244.7312
Africa,,1995,3659.2288,44.270798,248.32277
Africa,,1996,3653.0947,44.982918,253.33286
Africa,,1997,3633.3127,47.142513,253.70827
Africa,,1998,3590.0173,49.48407,259.5682
Africa,,1999,3609.8008,45.582775,268.2301
Africa,,2000,3591.099,45.077187,281.05933
Africa,,2001,3625.2014,35.996555,293.18298
Africa,,2002,3583.7222,39.025276,298.24084
Africa,,2003,3687.1665,39.93934,282.35654
Africa,,2004,3855.8923,40.8469,290.35574
Africa,,2005,3773.8757,33.44014,286.51843
Africa,,2006,3752.342,28.763487,289.99966
Africa,,2007,3795.79,31.447468,288.54907
Africa,,2008,3932.9446,34.9962,285.72278
Africa,,2009,3893.0527,33.377228,285.4041
Africa,,2010,3896.565,34.14246,300.51077
Africa,,2011,3825.703,31.545996,300.45248
Africa,,2012,3881.9744,30.716005,294.06265
Africa,,2013,3877.7598,32.355755,303.2119
Africa,,2014,3870.3428,30.641243,316.7774
Africa,,2015,3866.0493,26.327713,314.02972
Africa,,2016,3869.5425,31.328247,307.58423
Africa,,2017,3852.4265,28.690405,325.6299
Africa,,2018,3832.923,22.697775,343.08066
Africa,,2019,3798.356,25.9024,358.0289
Africa,,2020,3457.7817,25.836493,371.05777
Africa,,2021,3584.8325,18.78104,380.82028
Algeria,DZA,1965,1910.1324,0,95.53111
Algeria,DZA,1966,2281.9224,0,83.2235
Algeria,DZA,1967,2096.2073,0,94.0028
Algeria,DZA,1968,2174.2285,0,126.20633
Algeria,DZA,1969,2406.913,0,79.1247
Algeria,DZA,1970,2540.1611,0,124.31607
Algeria,DZA,1971,2746.7256,0,69.15576
Algeria,DZA,1972,2990.643,0,101.36669
Algeria,DZA,1973,3450.926,0,150.38446
Algeria,DZA,1974,3790.4724,0,96.981804
Algeria,DZA,1975,4413.426,0,61.67956
Algeria,DZA,1976,4906.019,0,69.71108
Algeria,DZA,1977,5218.6387,0,46.42354
Algeria,DZA,1978,6387.1426,0,41.92492
Algeria,DZA,1979,8129.0176,0,47.365265
Algeria,DZA,1980,9412.426,0,40.55343
Algeria,DZA,1981,11064.026,0,55.92673
Algeria,DZA,1982,12334.725,0,70.81954
Algeria,DZA,1983,13067.9,0,33.59872
Algeria,DZA,1984,12099.901,0,62.474915
Algeria,DZA,1985,11764.669,0,86.30655
Algeria,DZA,1986,12094.42,0,32.306145
Algeria,DZA,1987,12027.957,0,62.559628
Algeria,DZA,1988,12576.017,0,22.321026
Algeria,DZA,1989,11908.628,0,26.849836
Algeria,DZA,1990,12327.519,0,15.643562
Algeria,DZA,1991,11908.999,0,33.15225
Algeria,DZA,1992,11949.858,0,21.999186
Algeria,DZA,1993,10855.729,0,38.159126
Algeria,DZA,1994,10789.64,0,17.570253
Algeria,DZA,1995,10975.977,0,20.039974
Algeria,DZA,1996,10678.949,0,13.772591
Algeria,DZA,1997,10097.629,0,7.5238814
Algeria,DZA,1998,10282.93,0,21.245111
Algeria,DZA,1999,10242.966,0,19.78077
Algeria,DZA,2000,9741.336,0,5.1886096
Algeria,DZA,2001,9955.143,0,6.4968305
Algeria,DZA,2002,10175.09,0,5.2608757
Algeria,DZA,2003,10486.486,0,23.974781
Algeria,DZA,2004,10736.774,0,22.248251
Algeria,DZA,2005,11065.476,0,48.24676
Algeria,DZA,2006,11323.462,0,18.518274
Algeria,DZA,2007,11740.896,0,18.8043
Algeria,DZA,2008,12229.293,0,23.004215
Algeria,DZA,2009,12725.983,0,27.13679
Algeria,DZA,2010,12229.061,0,14.095838
Algeria,DZA,2011,12680.638,0,29.902805
Algeria,DZA,2012,13594.317,0,30.592276
Algeria,DZA,2013,14121.583,0,9.151515
Algeria,DZA,2014,15090.883,0,17.75302
Algeria,DZA,2015,15601.193,0,15.118675
Algeria,DZA,2016,15272.842,0,22.301409
Algeria,DZA,2017,15126.544,0,37.457855
Algeria,DZA,2018,15966.561,0,46.065006
Algeria,DZA,2019,16223.641,0,47.960056
